POINT_X,POINT_Y,HARV88,HARV95,HARV2010
484729.7151,5122595.158,0.2359,0.3367,0.7573
485229.7151,5122595.158,0.1601,0.2794,0.6959
485729.7151,5122595.158,0.1563,0.2866,0.6902
486229.7151,5122595.158,0.1354,0.2454,0.6617
486729.7151,5122595.158,0.0876,0.229,0.5842
487229.7151,5122595.158,0.0361,0.193,0.4325
487729.7151,5122595.158,0.0052,0.1681,0.3166
488229.7151,5122595.158,0.0075,0.1265,0.206
488729.7151,5122595.158,0.0364,0.0708,0.1701
489229.7151,5122595.158,0.0424,0.0424,0.1452
489729.7151,5122595.158,0.0422,0.0425,0.144
490229.7151,5122595.158,0.0086,0.0186,0.1105
490729.7151,5122595.158,0.0097,0.0406,0.1254
491229.7151,5122595.158,0.0115,0.0451,0.1451
491729.7151,5122595.158,0.0083,0.0321,0.1377
492229.7151,5122595.158,0,0.0845,0.1669
492729.7151,5122595.158,0,0.1718,0.2514
493229.7151,5122595.158,0,0.1966,0.3561
493729.7151,5122595.158,0,0.184,0.3922
494229.7151,5122595.158,0.0244,0.1376,0.4368
494729.7151,5122595.158,0.0498,0.1125,0.5067
495229.7151,5122595.158,0.0787,0.0902,0.6015
495729.7151,5122595.158,0.0756,0.081,0.613
496229.7151,5122595.158,0.0825,0.0948,0.56
496729.7151,5122595.158,0.1048,0.1243,0.5047
497229.7151,5122595.158,0.0865,0.1063,0.5428
497729.7151,5122595.158,0.071,0.0781,0.5766
498229.7151,5122595.158,0.0321,0.0599,0.7112
498729.7151,5122595.158,0.0181,0.0534,0.7581
499229.7151,5122595.158,0.0092,0.0716,0.7513
499729.7151,5122595.158,0.008,0.1148,0.7495
500229.7151,5122595.158,0.0158,0.2092,0.729
500729.7151,5122595.158,0.016,0.2559,0.7796
501229.7151,5122595.158,0.0206,0.3143,0.8016
501729.7151,5122595.158,0.0319,0.3311,0.7483
502229.7151,5122595.158,0.065,0.3049,0.6673
502729.7151,5122595.158,0.0933,0.2577,0.5995
503229.7151,5122595.158,0.1241,0.2138,0.6354
503729.7151,5122595.158,0.1031,0.1861,0.635
504229.7151,5122595.158,0.1102,0.2318,0.6516
504729.7151,5122595.158,0.0799,0.196,0.5988
505229.7151,5122595.158,0.0673,0.1918,0.5443
505729.7151,5122595.158,0.0713,0.1927,0.554
506229.7151,5122595.158,0.0537,0.235,0.5486
506729.7151,5122595.158,0.0449,0.235,0.5116
507229.7151,5122595.158,0.0856,0.2422,0.5013
507729.7151,5122595.158,0.1448,0.2684,0.5451
508229.7151,5122595.158,0.152,0.2299,0.6003
508729.7151,5122595.158,0.1512,0.1835,0.5748
509229.7151,5122595.158,0.098,0.1106,0.5572
509729.7151,5122595.158,0.0281,0.0527,0.4463
481729.7151,5122095.158,0.0026,0.0026,0.637
482229.7151,5122095.158,0.0054,0.0092,0.5515
483229.7151,5122095.158,0.2276,0.2241,0.5434
483729.7151,5122095.158,0.3672,0.391,0.6277
484229.7151,5122095.158,0.3524,0.3739,0.6716
484729.7151,5122095.158,0.2594,0.306,0.6459
485229.7151,5122095.158,0.186,0.2556,0.6162
485729.7151,5122095.158,0.1314,0.215,0.5972
486229.7151,5122095.158,0.1234,0.1996,0.5534
486729.7151,5122095.158,0.0927,0.1625,0.5114
487229.7151,5122095.158,0.0429,0.0973,0.4108
487729.7151,5122095.158,0.008,0.095,0.3009
488229.7151,5122095.158,0,0.0704,0.1631
488729.7151,5122095.158,0.0103,0.0475,0.0713
489229.7151,5122095.158,0.0198,0.0332,0.0627
489729.7151,5122095.158,0.0094,0.0198,0.0799
490229.7151,5122095.158,0.002,0.0324,0.1019
490729.7151,5122095.158,0.0117,0.0576,0.2296
491229.7151,5122095.158,0.0215,0.0696,0.284
491729.7151,5122095.158,0.0172,0.1039,0.3286
492229.7151,5122095.158,0.0014,0.1326,0.3653
492729.7151,5122095.158,0,0.2046,0.3812
493229.7151,5122095.158,0,0.223,0.4071
493729.7151,5122095.158,0,0.1777,0.3696
494229.7151,5122095.158,0,0.0761,0.3337
494729.7151,5122095.158,9.00E-04,0.0149,0.4008
495229.7151,5122095.158,0.0034,0.0037,0.495
495729.7151,5122095.158,6.00E-04,3.00E-04,0.5169
496229.7151,5122095.158,0.0049,0.0043,0.4071
496729.7151,5122095.158,0.0132,0.016,0.2955
497229.7151,5122095.158,0.0195,0.0229,0.3025
497729.7151,5122095.158,0.0049,0.0241,0.3825
498229.7151,5122095.158,3.00E-04,0.0613,0.5579
498729.7151,5122095.158,0.0049,0.1451,0.7098
499229.7151,5122095.158,0.0049,0.2479,0.791
499729.7151,5122095.158,0.0011,0.2992,0.8291
500229.7151,5122095.158,0.0103,0.33,0.8186
500729.7151,5122095.158,0.0209,0.3415,0.8062
501229.7151,5122095.158,0.0192,0.3545,0.7678
501729.7151,5122095.158,0.0132,0.3446,0.7736
502229.7151,5122095.158,0.0238,0.2714,0.6748
502729.7151,5122095.158,0.0424,0.1918,0.6184
503229.7151,5122095.158,0.0524,0.1405,0.5867
503729.7151,5122095.158,0.0532,0.1752,0.6127
504229.7151,5122095.158,0.0484,0.2153,0.7197
504729.7151,5122095.158,0.0492,0.2333,0.7138
505229.7151,5122095.158,0.0616,0.2282,0.694
505729.7151,5122095.158,0.0627,0.1681,0.6273
506229.7151,5122095.158,0.0778,0.1549,0.5799
506729.7151,5122095.158,0.0713,0.1517,0.5528
507229.7151,5122095.158,0.095,0.162,0.5214
507729.7151,5122095.158,0.1216,0.182,0.4748
508229.7151,5122095.158,0.1483,0.1858,0.4469
508729.7151,5122095.158,0.1234,0.1583,0.4177
509229.7151,5122095.158,0.0965,0.1147,0.4625
509729.7151,5122095.158,0.069,0.1111,0.5259
481729.7151,5121595.158,0,0.0026,0.6662
482229.7151,5121595.158,0,0.0029,0.5979
482729.7151,5121595.158,0.0432,0.0424,0.5737
483229.7151,5121595.158,0.2325,0.2279,0.647
483729.7151,5121595.158,0.3674,0.3706,0.6812
484229.7151,5121595.158,0.333,0.353,0.6144
485729.7151,5121595.158,0.1194,0.1328,0.5185
486229.7151,5121595.158,0.1157,0.14,0.5013
486729.7151,5121595.158,0.0782,0.0965,0.5444
487229.7151,5121595.158,0.0346,0.0919,0.4773
487729.7151,5121595.158,0.0069,0.148,0.3765
488229.7151,5121595.158,0.0026,0.1959,0.3204
488729.7151,5121595.158,0.0026,0.2264,0.2676
489229.7151,5121595.158,0,0.1543,0.2032
490229.7151,5121595.158,0.014,0.0939,0.2972
490729.7151,5121595.158,0.0266,0.075,0.4443
491229.7151,5121595.158,0.0252,0.087,0.5046
491729.7151,5121595.158,0.0255,0.1286,0.5142
492229.7151,5121595.158,0.0146,0.1483,0.5505
492729.7151,5121595.158,9.00E-04,0.2242,0.5103
493229.7151,5121595.158,0,0.2135,0.4206
493729.7151,5121595.158,0,0.1371,0.2728
494229.7151,5121595.158,0,0.0203,0.1901
494729.7151,5121595.158,0,0.0037,0.2934
495229.7151,5121595.158,0,0.0089,0.4466
495729.7151,5121595.158,0,0.006,0.5026
496229.7151,5121595.158,0,0.0011,0.392
496729.7151,5121595.158,0,0.0135,0.2679
498229.7151,5121595.158,0,0.0991,0.4326
498729.7151,5121595.158,0,0.2019,0.5352
499229.7151,5121595.158,0,0.2986,0.7258
499729.7151,5121595.158,0,0.3638,0.775
500229.7151,5121595.158,0.014,0.4396,0.7941
500729.7151,5121595.158,0.0544,0.4423,0.7839
501229.7151,5121595.158,0.0704,0.3708,0.7467
501729.7151,5121595.158,0.0518,0.2684,0.7557
502229.7151,5121595.158,0.0066,0.1372,0.6256
502729.7151,5121595.158,0.0026,0.0682,0.5319
503229.7151,5121595.158,0.0046,0.0687,0.4754
503729.7151,5121595.158,0.0046,0.1248,0.5039
504229.7151,5121595.158,0.0029,0.2133,0.653
504729.7151,5121595.158,0.0097,0.2256,0.6498
505229.7151,5121595.158,0.0329,0.1955,0.6353
505729.7151,5121595.158,0.0993,0.1939,0.6272
506229.7151,5121595.158,0.1148,0.1366,0.5584
506729.7151,5121595.158,0.0942,0.1142,0.505
507229.7151,5121595.158,0.0673,0.0942,0.4414
507729.7151,5121595.158,0.073,0.1039,0.3689
508229.7151,5121595.158,0.0933,0.1219,0.3767
508729.7151,5121595.158,0.0847,0.1134,0.3077
509229.7151,5121595.158,0.0936,0.1053,0.3663
509729.7151,5121595.158,0.0853,0.1274,0.3805
481729.7151,5121095.158,0.0052,0.0077,0.7295
482229.7151,5121095.158,0.0109,0.0184,0.6497
482729.7151,5121095.158,0.0616,0.0635,0.6508
483229.7151,5121095.158,0.1735,0.1987,0.7154
483729.7151,5121095.158,0.2399,0.288,0.6675
484729.7151,5121095.158,0.1569,0.1878,0.4879
485229.7151,5121095.158,0.083,0.0816,0.3977
485729.7151,5121095.158,0.1051,0.1045,0.4681
486229.7151,5121095.158,0.1197,0.12,0.5062
486729.7151,5121095.158,0.0644,0.0741,0.5905
487229.7151,5121095.158,0.0066,0.1022,0.6018
487729.7151,5121095.158,0.006,0.205,0.5705
488229.7151,5121095.158,0.0026,0.2701,0.5158
488729.7151,5121095.158,0.0026,0.3739,0.511
489229.7151,5121095.158,0.0094,0.2837,0.4546
489729.7151,5121095.158,0.0063,0.1719,0.479
490229.7151,5121095.158,0.016,0.1025,0.5351
490729.7151,5121095.158,0.0303,0.0859,0.6387
491229.7151,5121095.158,0.0279,0.0854,0.6963
491729.7151,5121095.158,0.0269,0.1022,0.6699
492229.7151,5121095.158,0.014,0.1317,0.6387
492729.7151,5121095.158,0.0037,0.1839,0.5845
493229.7151,5121095.158,0,0.164,0.448
493729.7151,5121095.158,0,0.0908,0.3246
494229.7151,5121095.158,0,0.0351,0.3158
494729.7151,5121095.158,0,0.0275,0.4578
495229.7151,5121095.158,0,0.0372,0.6049
495729.7151,5121095.158,0,0.0658,0.6322
496229.7151,5121095.158,0,0.087,0.5388
496729.7151,5121095.158,0,0.0999,0.4369
497229.7151,5121095.158,0,0.1164,0.3681
498729.7151,5121095.158,0,0.1882,0.4985
499229.7151,5121095.158,0,0.2883,0.623
499729.7151,5121095.158,0,0.3902,0.7429
500229.7151,5121095.158,0.0391,0.4646,0.8115
500729.7151,5121095.158,0.0773,0.4243,0.7996
501229.7151,5121095.158,0.0945,0.3347,0.775
501729.7151,5121095.158,0.1195,0.2267,0.7926
502229.7151,5121095.158,0.0804,0.1271,0.617
