POINT_X,POINT_Y,HARV88,HARV95,HARV2010,Dhat1988,Dhat1995,Dhat2015
487229.7151,5106595.158,0.1085,0.3532,0.5313,0.233935463,0.064581196,0.025307917
487729.7151,5106595.158,0.0561,0.2994,0.4501,0.308175455,0.08570501,0.038792591
488229.7151,5106595.158,0.0378,0.2618,0.4315,0.339314457,0.104447785,0.042779768
488729.7151,5106595.158,0.0286,0.2032,0.3779,0.35613835,0.142155749,0.056712876
489229.7151,5106595.158,0.0229,0.1474,0.3676,0.366977772,0.190648473,0.059870224
489729.7151,5106595.158,0.0189,0.0636,0.3357,0.374780784,0.296254618,0.070808091
490229.7151,5106595.158,0.0183,0.0761,0.3034,0.375965461,0.277402433,0.083920614
490729.7151,5106595.158,0.022,0.1154,0.3739,0.368719163,0.225597239,0.057918757
491229.7151,5106595.158,0.0172,0.1409,0.3548,0.378147102,0.197279455,0.064039961
491729.7151,5106595.158,9.00E-04,0.203,0.2917,0.411999147,0.142305375,0.089247488
492229.7151,5106595.158,0,0.2691,0.3439,0.413954175,0.100513222,0.067818925
492729.7151,5106595.158,0,0.2489,0.3035,0.413954175,0.111780964,0.083876483
493229.7151,5106595.158,0,0.1643,0.1898,0.413954175,0.174432401,0.152537014
483729.7151,5106095.158,0.3,0.4121,0.4569,0.085434951,0.047375692,0.037429579
484229.7151,5106095.158,0.3318,0.4429,0.5041,0.07227565,0.040289919,0.029200601
484729.7151,5106095.158,0.3601,0.4214,0.4609,0.062279311,0.04511394,0.036650288
485229.7151,5106095.158,0.3566,0.4529,0.5167,0.063436492,0.038225441,0.02732804
485729.7151,5106095.158,0.4403,0.5726,0.6854,0.040844709,0.020366253,0.011252061
486229.7151,5106095.158,0.3636,0.6456,0.7936,0.061143238,0.013872373,0.006368852
486729.7151,5106095.158,0.1724,0.569,0.7695,0.16715663,0.020755583,0.007229611
487229.7151,5106095.158,0.1033,0.5591,0.7277,0.240422377,0.021865046,0.009007461
487729.7151,5106095.158,0.0229,0.5208,0.6733,0.366977772,0.026744993,0.011991491
488229.7151,5106095.158,0.017,0.4727,0.6379,0.378545122,0.034444636,0.014445765
488729.7151,5106095.158,0.0163,0.3562,0.4959,0.379941494,0.063570103,0.030487638
489229.7151,5106095.158,0.0126,0.2528,0.4332,0.38740834,0.109511249,0.042398936
489729.7151,5106095.158,0.0017,0.2322,0.4874,0.410269097,0.122044201,0.031881671
490229.7151,5106095.158,0.0046,0.2425,0.4818,0.404058342,0.115608014,0.032834746
490729.7151,5106095.158,0,0.3057,0.5403,0.413954175,0.082911459,0.024137757
491229.7151,5106095.158,0,0.354,0.5583,0.413954175,0.064310009,0.021957248
491729.7151,5106095.158,0,0.4114,0.5494,0.413954175,0.047550451,0.023009594
492229.7151,5106095.158,0,0.4438,0.5649,0.413954175,0.040099637,0.02120806
492729.7151,5106095.158,0,0.3543,0.4437,0.413954175,0.064208608,0.040120735
493229.7151,5106095.158,0,0.2201,0.2728,0.413954175,0.130064344,0.098575946
483729.7151,5105595.158,0.5303,0.6325,0.686,0.025441388,0.014861965,0.011216605
484229.7151,5105595.158,0.5371,0.6364,0.6959,0.024547482,0.014560193,0.010647459
484729.7151,5105595.158,0.4392,0.5005,0.5603,0.041081721,0.029758812,0.021727468
485229.7151,5105595.158,0.3892,0.4459,0.5152,0.0534402,0.039659134,0.027544511
485729.7151,5105595.158,0.3146,0.5205,0.6152,0.079119493,0.02678723,0.016277817
486229.7151,5105595.158,0.2336,0.6554,0.7747,0.121148768,0.013175398,0.007034547
486729.7151,5105595.158,0.154,0.7461,0.881,0.184143488,0.008176542,0.004021662
487229.7151,5105595.158,0.0993,0.7659,0.8661,0.245534454,0.007367816,0.004349536
487729.7151,5105595.158,0.0135,0.702,0.7864,0.385578683,0.010311247,0.006614679
488229.7151,5105595.158,0.0177,0.597,0.7416,0.377153882,0.017913154,0.008372389
488729.7151,5105595.158,0.0129,0.4801,0.6551,0.386797492,0.033129671,0.013196205
489229.7151,5105595.158,0,0.4022,0.574,0.413954175,0.049908098,0.020216827
489729.7151,5105595.158,0,0.4307,0.6099,0.413954175,0.042960164,0.016737995
490229.7151,5105595.158,0,0.4942,0.6702,0.413954175,0.030761481,0.012188627
490729.7151,5105595.158,0,0.5093,0.6822,0.413954175,0.02841273,0.011443058
