POINT_X,POINT_Y,HARV88,HARV95,HARV2010,Dhat1988,Dhat1995,Dhat2015
493729.7151,5108095.158,0.1534,0.1618,0.195,0.184725563,0.176741335,0.148421363
494229.7151,5108095.158,0.1506,0.1512,0.171,0.187466334,0.186875623,0.168392115
494729.7151,5108095.158,0.1566,0.158,0.1729,0.181642284,0.180309583,0.166717586
495229.7151,5108095.158,0.1082,0.1142,0.1291,0.234304905,0.227025712,0.209912186
495729.7151,5108095.158,0.0713,0.0725,0.0907,0.284495455,0.282705375,0.2568965
496229.7151,5108095.158,0.0269,0.0283,0.1383,0.35933722,0.35670078,0.199995983
496729.7151,5108095.158,0.0172,0.018,0.15,0.378147102,0.376559202,0.188058913
497229.7151,5108095.158,0.004,0.0046,0.1609,0.405335565,0.404058342,0.177580012
497729.7151,5108095.158,0,0.0375,0.2122,0.413954175,0.339850318,0.135582902
498229.7151,5108095.158,0,0.0438,0.2339,0.413954175,0.328772913,0.120957746
498729.7151,5108095.158,0,0.049,0.2964,0.413954175,0.319902186,0.087068162
499229.7151,5108095.158,0,0.0498,0.312,0.413954175,0.318558866,0.080208964
499729.7151,5108095.158,0,0.0146,0.2994,0.413954175,0.383354167,0.08570501
500229.7151,5108095.158,0,0.0069,0.2984,0.413954175,0.399199495,0.086157006
500729.7151,5108095.158,0,0.0023,0.3078,0.413954175,0.408976329,0.082000659
501229.7151,5108095.158,0,0,0.2831,0.413954175,0.413954175,0.093377394
501729.7151,5108095.158,0,0,0.2251,0.413954175,0.413954175,0.126688242
502229.7151,5108095.158,0,0,0.1505,0.413954175,0.413954175,0.187564968
502729.7151,5108095.158,0,0,0.0638,0.413954175,0.413954175,0.295943122
503229.7151,5108095.158,0,0,0.0194,0.413954175,0.413954175,0.373796406
493729.7151,5107595.158,0.0762,0.0804,0.1093,0.277256558,0.271198569,0.232953131
494229.7151,5107595.158,0.0454,0.0463,0.0667,0.326017571,0.324477851,0.291463061
494729.7151,5107595.158,0.0352,0.0364,0.0512,0.343986798,0.341822391,0.316221614
495229.7151,5107595.158,0.0215,0.0215,0.0261,0.369690171,0.369690171,0.360852497
495729.7151,5107595.158,0.0118,0.0124,0.0124,0.389041989,0.387816108,0.387816108
496229.7151,5107595.158,0.0094,0.01,0.0221,0.393984386,0.392742931,0.368525268
496729.7151,5107595.158,0.0034,0.0037,0.0401,0.406616825,0.405975689,0.335234162
497229.7151,5107595.158,0,0,0.0393,0.413954175,0.413954175,0.3366478
497729.7151,5107595.158,0,0.0163,0.0484,0.413954175,0.379941494,0.320913392
498229.7151,5107595.158,0,0.0386,0.0947,0.413954175,0.337889622,0.251547862
498729.7151,5107595.158,0,0.0391,0.1049,0.413954175,0.337002139,0.238407472
499229.7151,5107595.158,0,0.0106,0.1156,0.413954175,0.391505388,0.225360035
499729.7151,5107595.158,0,0,0.1229,0.413954175,0.413954175,0.21687069
500229.7151,5107595.158,0,0,0.1417,0.413954175,0.413954175,0.196451048
500729.7151,5107595.158,0,0,0.1179,0.413954175,0.413954175,0.222650055
501229.7151,5107595.158,0,0,0.1305,0.413954175,0.413954175,0.20837207
501729.7151,5107595.158,0,0,0.0819,0.413954175,0.413954175,0.269067231
502229.7151,5107595.158,0,0,0.0444,0.413954175,0.413954175,0.327736942
502729.7151,5107595.158,0,0,0.0109,0.413954175,0.413954175,0.39088808
503229.7151,5107595.158,0,0,0,0.413954175,0.413954175,0.413954175
493729.7151,5107095.158,0,0.0255,0.0426,0.413954175,0.361993146,0.330854691
494229.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
494729.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
495229.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
495729.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
496229.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
496729.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
497229.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
497729.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
498229.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
498729.7151,5107095.158,0,0,3.00E-04,0.413954175,0.413954175,0.41330147
499229.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
499729.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
500229.7151,5107095.158,0,0,0.002,0.413954175,0.413954175,0.409622203
500729.7151,5107095.158,0,0,0.0034,0.413954175,0.413954175,0.406616825
501229.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
501729.7151,5107095.158,0,0,6.00E-04,0.413954175,0.413954175,0.412649795
502229.7151,5107095.158,0,0,3.00E-04,0.413954175,0.413954175,0.41330147
502729.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
503229.7151,5107095.158,0,0,0,0.413954175,0.413954175,0.413954175
493729.7151,5106595.158,0,0.0741,0.0848,0.413954175,0.280336111,0.264994025
494229.7151,5106595.158,0,0.0034,0.004,0.413954175,0.406616825,0.405335565
494729.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
495229.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
495729.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
496229.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
496729.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
497229.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
497729.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
498229.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
498729.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
499229.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
499729.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
500229.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
500729.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
501229.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
501729.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
502229.7151,5106595.158,0,0,0,0.413954175,0.413954175,0.413954175
