X,Y,Heavy,Heavy_NW,MPI,Light,Light_NW,Harvest,Harvest_NW,
486875.8867,5098245.25,0.423903697,0.423903697,9.554955078,0.121524792,0.121524792,0.54542849,0.54542849,0.486875887
487375.8867,5098245.25,0.406088455,0.404925544,9.518950488,0.096496267,0.096219931,0.502308386,0.501145475,0.487375887
487875.8867,5098245.25,0.538906566,0.533352419,9.359847501,0.0454151,0.044947037,0.583853603,0.578299456,0.487875887
488375.8867,5098245.25,0.663197456,0.657494984,9.311431237,0.012142238,0.012037833,0.675235289,0.669532817,0.488375887
488875.8867,5098245.25,0.678796562,0.678407789,9.25081458,0.009169054,0.009163803,0.687960365,0.687571592,0.488875887
489375.8867,5098245.25,0.645705968,0.634984254,9.271999291,0.007569141,0.007443458,0.653149426,0.642427713,0.489375887
489875.8867,5098245.25,0.6011994,0.574663227,9.356433728,0.003598201,0.003439381,0.604638781,0.578102608,0.489875887
490375.8867,5098245.25,0.540124588,0.422107675,9.502815115,0,0,0.540124588,0.422107675,0.490375887
490875.8867,5098245.25,0.50610998,0.284569138,9.452577728,0,0,0.50610998,0.284569138,0.490875887
482875.8867,5098745.25,0.711830421,0.711830421,9.12989929,0.024921226,0.024921226,0.736751647,0.736751647,0.482875887
483375.8867,5098745.25,0.711378619,0.711378619,9.067874497,0.01805675,0.01805675,0.729435368,0.729435368,0.483375887
483875.8867,5098745.25,0.738046943,0.731056257,9.190799583,0.046363373,0.045924225,0.783971168,0.776980482,0.483875887
484375.8867,5098745.25,0.706616367,0.697507877,9.3819524,0.060940221,0.060154683,0.76677105,0.757662561,0.484375887
484875.8867,5098745.25,0.615015015,0.586987676,9.456547743,0.058258258,0.055603325,0.67061834,0.642591,0.484875887
485375.8867,5098745.25,0.670488835,0.637772675,9.303953103,0.034701267,0.033008037,0.703496872,0.670780712,0.485375887
485875.8867,5098745.25,0.587320574,0.562589516,9.348451836,0.018241627,0.017473503,0.604794077,0.580063019,0.485875887
486375.8867,5098745.25,0.503634778,0.496417312,9.504592708,0.012794417,0.012611063,0.516245841,0.509028375,0.486375887
486875.8867,5098745.25,0.436854191,0.436854191,9.594649691,0.021239954,0.021239954,0.458094145,0.458094145,0.486875887
487375.8867,5098745.25,0.379659058,0.376396448,9.581890534,0.017913898,0.017759954,0.397419012,0.394156402,0.487375887
487875.8867,5098745.25,0.465741544,0.461736887,9.498813946,0.004914715,0.004872456,0.470614,0.466609344,0.487875887
488375.8867,5098745.25,0.568341121,0.558553387,9.326623718,0,0,0.568341121,0.558553387,0.488375887
488875.8867,5098745.25,0.664697194,0.644514466,9.262400262,0.001772526,0.001718705,0.666415899,0.646233171,0.488875887
489375.8867,5098745.25,0.755502677,0.728002293,9.008983435,0.000297442,0.000286615,0.755789292,0.728288908,0.489375887
489875.8867,5098745.25,0.706137425,0.607634902,8.918444856,0,0,0.706137425,0.607634902,0.489875887
490375.8867,5098745.25,0.669156415,0.436264681,9.03526474,0,0,0.669156415,0.436264681,0.490375887
490875.8867,5098745.25,0.622999407,0.301232445,9.146782352,0.000592768,0.000286615,0.623286022,0.30151906,0.490875887
482375.8867,5099245.25,0.690703736,0.684951177,9.127577194,0.026933102,0.026708788,0.717412524,0.711659966,0.482375887
482875.8867,5099245.25,0.684059633,0.683863571,9.193398257,0.033543578,0.033533964,0.717593597,0.717397535,0.482875887
483375.8867,5099245.25,0.606087211,0.593579822,9.192808673,0.073163594,0.071653769,0.67774098,0.665233591,0.483375887
483875.8867,5099245.25,0.566187262,0.553991959,9.263097247,0.14176695,0.138713383,0.704900645,0.692705342,0.483875887
484375.8867,5099245.25,0.564094866,0.538549728,9.404735879,0.154908436,0.147893379,0.711988246,0.686443107,0.484375887
484875.8867,5099245.25,0.497981993,0.459730582,9.480842908,0.141570941,0.130696475,0.628678468,0.590427056,0.484875887
485375.8867,5099245.25,0.564506173,0.525272832,9.483053039,0.062345679,0.058012636,0.622518809,0.583285468,0.485375887
485875.8867,5099245.25,0.548266167,0.503009458,9.372443304,0.017806935,0.016337059,0.564603226,0.519346518,0.485875887
486375.8867,5099245.25,0.543692216,0.522499283,9.441525487,0.005070086,0.004872456,0.548564672,0.52737174,0.486375887
486875.8867,5099245.25,0.508645533,0.50689259,9.564955037,0,0,0.508645533,0.50689259,0.486875887
