#Detector	X	Y	usage	early
150	492951.0247	5117227.708	0000000000000011110000	/0
151	490277.9522	5115099.26	0000000000000011111000	/0
152	490715.4143	5114894.027	0000000000000011111000	/0
153	491395.2283	5115237.922	0000000000000011111000	/0
154	492450.1298	5115021.643	0000000000000011111000	/0
155	484124.8865	5113105.67	0000000000000011111000	/0
156	485698.4151	5111160.695	0000000000000011110000	/0
157	491389.1425	5117549.928	0000000000000011110000	/0
158	489397.7581	5114197.167	0000000000000011111000	/0
159	490090.2959	5114393.341	0000000000000011111000	/0
160	490872.6172	5114121.349	0000000000000011111000	/0
161	491678.5921	5114449.867	0000000000000011111000	/0
162	492132.2926	5115518.486	0000000000000011111000	/0
163	487081.8837	5111104.515	0000000000000011110000	/0
164	485981.2021	5111572.929	0000000000000011110000	/0
165	490085.7232	5113427.13	0000000000000011111000	/0
166	486077.9995	5112955.257	0000000000000011110000	/0
167	487913.1257	5110823.379	0000000000000011111000	/0
168	486996.1844	5112858.464	0000000000000011111000	/0
169	487427.0488	5112158.68	0000000000000011111000	/0
170	488637.5238	5112563.204	0000000000000011111000	/0
171	489242.8098	5113069.442	0000000000000011111000	/0
172	487244.3716	5110185.738	0000000000000011111000	/0
173	488547.3562	5110537.942	0000000000000011111000	/0
174	489280.4294	5110124.511	0000000000000011111000	/0
175	489500.2605	5110595.126	0000000000000011111000	/0
176	486529.259	5111855.254	0000000000000011110000	/0
177	487945.965	5111855.195	0000000000000011111000	/0
178	488820.5322	5111698.318	0000000000000011111000	/0
179	489471.0483	5111932.276	0000000000000011111000	/0
180	490300.609	5111518.578	0000000000000011111000	/0
181	491024.7468	5111648.141	0000000000000011111000	/0
182	491682.8427	5111609.213	0000000000000011111000	/0
183	491879.6454	5111776.615	0000000000000011111000	/0
184	501016.9193	5121550.075	0000000000000000000111	/0
185	500783.4748	5120558.814	0000000000000000000111	/0
186	500349.4946	5120405.107	0000000000000000000111	/0
187	501310.2575	5120714.127	0000000000000000000111	/0
188	501822.958	5120433.257	0000000000000000000111	/0
189	506843.8047	5121406.375	0000000000000000000111	/0
190	506298.3954	5120967.12	0000000000000000000111	/0
191	505693.3873	5120610.525	0000000000000000000111	/0
192	499840.8922	5121596.326	0000000000000000000111	/0
193	501794.8832	5119942.47	0000000000000000000111	/0
194	502385.1848	5120207.45	0000000000000000000111	/0
195	503061.0261	5120144.417	0000000000000000000111	/0
196	503744.8235	5120081.02	0000000000000000000111	/0
197	504457.1993	5119863.608	0000000000000000000111	/0
198	505241.6789	5120149.008	0000000000000000000111	/0
199	504611.243	5119067.942	0000000000000000000111	/0
200	501462.3638	5119447.491	0000000000000000000111	/0
201	505404.5845	5118682.035	0000000000000000000111	/0
202	502928.7613	5119726.685	0000000000000000000111	/0
203	503851.8035	5119166.973	0000000000000000000111	/0
204	504232.7693	5119485.559	0000000000000000000111	/0
205	505270.977	5119524.143	0000000000000000000111	/0
206	506032.2889	5119303.734	0000000000000000000111	/0
207	500656.7381	5118275.573	0000000000000000000111	/0
208	501339.8502	5118657.907	0000000000000000000111	/0
209	500072.1858	5118494.427	0000000000000000000111	/0
210	501160.6764	5122002.548	0000000000000000000111	/0
211	504025.3994	5118687.417	0000000000000000000111	/0
212	504135.2421	5118314.713	0000000000000000000111	/0
213	493691.9832	5120090.571	0000000000000000000111	/0
214	494715.7496	5120411.935	0000000000000000000111	/0
215	495518.8413	5120742.407	0000000000000000000111	/0
216	496293.4016	5120822.888	0000000000000000000111	/0
217	497161.5219	5120544.978	0000000000000000000111	/0
218	497906.245	5120390.233	0000000000000000000111	/0
219	495937.6648	5121491.673	0000000000000000000111	/0
220	499151.7866	5121332.271	0000000000000000000111	/0
221	494109.3171	5120054.932	0000000000000000000111	/0
222	495218.8986	5121680.75	0000000000000000000111	/0
223	495632.0519	5120032.766	0000000000000000000111	/0
224	496517.5985	5120016.087	0000000000000000000111	/0
225	497286.9514	5120173.587	0000000000000000000111	/0
226	497966.4972	5119804.1	0000000000000000000111	/0
227	498552.9053	5119801.933	0000000000000000000111	/0
228	494223.3671	5119413.71	0000000000000000000111	/0
229	494720.4665	5119445.039	0000000000000000000111	/0
230	495638.5868	5119248.871	0000000000000000000111	/0
231	494487.6697	5118425.576	0000000000000000000111	/0
232	495167.0987	5118559.113	0000000000000000000111	/0
233	495709.9297	5118494.82	0000000000000000000111	/0
234	496639.7852	5118424.461	0000000000000000000111	/0
235	497318.7843	5118389.014	0000000000000000000111	/0
236	497960.88	5118450.989	0000000000000000000111	/0
237	498415.0194	5118548.743	0000000000000000000111	/0
238	499280.5097	5118579.025	0000000000000000000111	/0
